lat,lon,clusters_10
3.5,103.5,cluster_9
30.5,103.5,cluster_4
31.5,103.5,cluster_4
32.5,103.5,cluster_4
33.5,103.5,cluster_4
34.5,103.5,cluster_4
35.5,103.5,cluster_9
36.5,103.5,cluster_9
37.5,103.5,cluster_9
38.5,103.5,cluster_9
39.5,103.5,cluster_9
4.5,103.5,cluster_9
40.5,103.5,cluster_9
41.5,103.5,cluster_9
42.5,103.5,cluster_9
43.5,103.5,cluster_9
44.5,103.5,cluster_9
45.5,103.5,cluster_9
46.5,103.5,cluster_9
47.5,103.5,cluster_9
48.5,103.5,cluster_9
49.5,103.5,cluster_9
5.5,103.5,cluster_9
50.5,103.5,cluster_2
51.5,103.5,cluster_2
52.5,103.5,cluster_2
53.5,103.5,cluster_2
54.5,103.5,cluster_2
55.5,103.5,cluster_2
56.5,103.5,cluster_4
57.5,103.5,cluster_4
58.5,103.5,cluster_4
59.5,103.5,cluster_4
6.5,103.5,cluster_9
60.5,103.5,cluster_10
61.5,103.5,cluster_10
62.5,103.5,cluster_10
63.5,103.5,cluster_10
64.5,103.5,cluster_10
65.5,103.5,cluster_10
66.5,103.5,cluster_10
67.5,103.5,cluster_10
68.5,103.5,cluster_10
69.5,103.5,cluster_10
7.5,103.5,cluster_8
70.5,103.5,cluster_10
71.5,103.5,cluster_10
72.5,103.5,cluster_10
73.5,103.5,cluster_10
74.5,103.5,cluster_10
75.5,103.5,cluster_9
76.5,103.5,cluster_9
77.5,103.5,cluster_9
78.5,103.5,cluster_9
79.5,103.5,cluster_9
8.5,103.5,cluster_8
80.5,103.5,cluster_9
81.5,103.5,cluster_9
82.5,103.5,cluster_9
9.5,103.5,cluster_8
-0.5,104.5,cluster_9
-1.5,104.5,cluster_9
-2.5,104.5,cluster_9
-3.5,104.5,cluster_4
-4.5,104.5,cluster_4
-5.5,104.5,cluster_4
-6.5,104.5,cluster_4
-64.5,104.5,cluster_2
-65.5,104.5,cluster_2
-66.5,104.5,cluster_2
-67.5,104.5,cluster_2
-68.5,104.5,cluster_2
-69.5,104.5,cluster_2
-7.5,104.5,cluster_4
-70.5,104.5,cluster_2
-71.5,104.5,cluster_4
-72.5,104.5,cluster_4
-73.5,104.5,cluster_4
-74.5,104.5,cluster_4
-75.5,104.5,cluster_4
-76.5,104.5,cluster_4
-77.5,104.5,cluster_4
-78.5,104.5,cluster_4
-79.5,104.5,cluster_4
-80.5,104.5,cluster_4
-81.5,104.5,cluster_4
-82.5,104.5,cluster_4
-83.5,104.5,cluster_4
-84.5,104.5,cluster_4
-85.5,104.5,cluster_4
-86.5,104.5,cluster_4
-87.5,104.5,cluster_4
-88.5,104.5,cluster_4
-89.5,104.5,cluster_4
0.5,104.5,cluster_9
1.5,104.5,cluster_9
10.5,104.5,cluster_9
11.5,104.5,cluster_9
12.5,104.5,cluster_9
13.5,104.5,cluster_9
14.5,104.5,cluster_9
15.5,104.5,cluster_10
16.5,104.5,cluster_10
17.5,104.5,cluster_4
18.5,104.5,cluster_4
19.5,104.5,cluster_4
2.5,104.5,cluster_9
20.5,104.5,cluster_4
21.5,104.5,cluster_10
22.5,104.5,cluster_10
23.5,104.5,cluster_10
24.5,104.5,cluster_10
25.5,104.5,cluster_10
26.5,104.5,cluster_10
27.5,104.5,cluster_10
28.5,104.5,cluster_4
29.5,104.5,cluster_4
3.5,104.5,cluster_9
30.5,104.5,cluster_4
31.5,104.5,cluster_4
32.5,104.5,cluster_4
33.5,104.5,cluster_9
34.5,104.5,cluster_9
35.5,104.5,cluster_9
36.5,104.5,cluster_9
37.5,104.5,cluster_9
38.5,104.5,cluster_9
39.5,104.5,cluster_9
4.5,104.5,cluster_9
40.5,104.5,cluster_9
41.5,104.5,cluster_9
42.5,104.5,cluster_9
43.5,104.5,cluster_9
44.5,104.5,cluster_9
45.5,104.5,cluster_9
46.5,104.5,cluster_9
47.5,104.5,cluster_9
48.5,104.5,cluster_9
49.5,104.5,cluster_2
5.5,104.5,cluster_9
50.5,104.5,cluster_2
51.5,104.5,cluster_2
52.5,104.5,cluster_2
53.5,104.5,cluster_2
54.5,104.5,cluster_2
55.5,104.5,cluster_2
56.5,104.5,cluster_4
57.5,104.5,cluster_4
58.5,104.5,cluster_4
59.5,104.5,cluster_4
6.5,104.5,cluster_9
60.5,104.5,cluster_10
61.5,104.5,cluster_10
62.5,104.5,cluster_10
63.5,104.5,cluster_10
64.5,104.5,cluster_10
65.5,104.5,cluster_10
66.5,104.5,cluster_10
67.5,104.5,cluster_10
68.5,104.5,cluster_10
69.5,104.5,cluster_10
7.5,104.5,cluster_8
70.5,104.5,cluster_10
71.5,104.5,cluster_10
72.5,104.5,cluster_10
73.5,104.5,cluster_10
74.5,104.5,cluster_10
75.5,104.5,cluster_9
76.5,104.5,cluster_9
77.5,104.5,cluster_9
78.5,104.5,cluster_9
79.5,104.5,cluster_9
8.5,104.5,cluster_8
80.5,104.5,cluster_9
81.5,104.5,cluster_9
82.5,104.5,cluster_9
9.5,104.5,cluster_8
-0.5,105.5,cluster_9
-1.5,105.5,cluster_9
-2.5,105.5,cluster_9
-3.5,105.5,cluster_9
-4.5,105.5,cluster_4
-5.5,105.5,cluster_4
-6.5,105.5,cluster_4
-64.5,105.5,cluster_2
-65.5,105.5,cluster_2
-66.5,105.5,cluster_2
-67.5,105.5,cluster_2
-68.5,105.5,cluster_2
-69.5,105.5,cluster_2
-7.5,105.5,cluster_4
-70.5,105.5,cluster_2
-71.5,105.5,cluster_2
-72.5,105.5,cluster_4
-73.5,105.5,cluster_4
-74.5,105.5,cluster_4
-75.5,105.5,cluster_4
-76.5,105.5,cluster_4
-77.5,105.5,cluster_4
-78.5,105.5,cluster_4
-79.5,105.5,cluster_4
-8.5,105.5,cluster_4
-80.5,105.5,cluster_4
-81.5,105.5,cluster_4
-82.5,105.5,cluster_4
-83.5,105.5,cluster_4
-84.5,105.5,cluster_4
-85.5,105.5,cluster_4
-86.5,105.5,cluster_4
-87.5,105.5,cluster_4
-88.5,105.5,cluster_4
-89.5,105.5,cluster_4
0.5,105.5,cluster_9
1.5,105.5,cluster_9
10.5,105.5,cluster_9
11.5,105.5,cluster_9
12.5,105.5,cluster_9
13.5,105.5,cluster_9
14.5,105.5,cluster_9
15.5,105.5,cluster_9
16.5,105.5,cluster_9
17.5,105.5,cluster_9
18.5,105.5,cluster_4
19.5,105.5,cluster_4
2.5,105.5,cluster_9
20.5,105.5,cluster_4
21.5,105.5,cluster_10
22.5,105.5,cluster_10
23.5,105.5,cluster_10
24.5,105.5,cluster_10
25.5,105.5,cluster_10
26.5,105.5,cluster_10
27.5,105.5,cluster_4
28.5,105.5,cluster_4
29.5,105.5,cluster_4
3.5,105.5,cluster_9
30.5,105.5,cluster_4
31.5,105.5,cluster_4
32.5,105.5,cluster_4
33.5,105.5,cluster_9
34.5,105.5,cluster_9
35.5,105.5,cluster_9
36.5,105.5,cluster_9
37.5,105.5,cluster_9
38.5,105.5,cluster_9
39.5,105.5,cluster_9
4.5,105.5,cluster_9
40.5,105.5,cluster_9
41.5,105.5,cluster_9
42.5,105.5,cluster_9
43.5,105.5,cluster_9
44.5,105.5,cluster_9
45.5,105.5,cluster_9
46.5,105.5,cluster_9
47.5,105.5,cluster_9
48.5,105.5,cluster_9
49.5,105.5,cluster_2
5.5,105.5,cluster_9
50.5,105.5,cluster_2
51.5,105.5,cluster_2
52.5,105.5,cluster_2
53.5,105.5,cluster_2
54.5,105.5,cluster_2
55.5,105.5,cluster_2
56.5,105.5,cluster_4
57.5,105.5,cluster_4
58.5,105.5,cluster_4
59.5,105.5,cluster_4
60.5,105.5,cluster_10
61.5,105.5,cluster_10
62.5,105.5,cluster_10
63.5,105.5,cluster_10
64.5,105.5,cluster_10
65.5,105.5,cluster_10
66.5,105.5,cluster_10
67.5,105.5,cluster_10
68.5,105.5,cluster_10
69.5,105.5,cluster_10
7.5,105.5,cluster_8
